year,province,category,value,,
2016,Sulawesi Tengah,poor,0.001630628,,
2016,Sulawesi Tengah,uc,9.360961492138738e-06,,
2016,Sulawesi Tengah,vulnerable,0.003078751,,
2016,Sulawesi Tenggara,amc,0.003502612,,
2016,Sulawesi Tenggara,mc,0.002797277,,
2016,Sulawesi Tenggara,poor,0.001267447,,
2016,Sulawesi Tenggara,uc,4.9750114308556256e-05,,
2016,Sulawesi Tenggara,vulnerable,0.002224493,,
2016,Sulawesi Utara,amc,0.003754835,,
2016,Sulawesi Utara,mc,0.002829462,,
2016,Sulawesi Utara,poor,0.000786443,,
2016,Sulawesi Utara,uc,5.3073868749806954e-05,,
2016,Sulawesi Utara,vulnerable,0.002001519,,
2016,Sumatera Barat,amc,0.010396924081714819,,
2016,Sumatera Barat,mc,0.002621999,,
2016,Sumatera Barat,poor,0.00144075,,
2016,Sumatera Barat,uc,2.3272287336096113e-05,,
2016,Sumatera Barat,vulnerable,0.005849958,,
2016,Sumatera Selatan,amc,0.015134767694858404,,
2016,Sumatera Selatan,mc,0.004553324,,
2016,Sumatera Selatan,poor,0.004270002,,
2016,Sumatera Selatan,uc,3.7164245666730264e-05,,
2016,Sumatera Selatan,vulnerable,0.007543882,,
2016,Sumatera Utara,amc,0.03012961,,
2016,Sumatera Utara,mc,0.005758676,,
2016,Sumatera Utara,poor,0.00564561,,
2016,Sumatera Utara,uc,4.4087412644654245e-05,,
2016,Sumatera Utara,vulnerable,0.012947078746820316,,
2016,Papua Barat Daya,amc,0.005254096,,
2016,Papua Barat Daya,mc,0.001942012,,
2016,Papua Barat Daya,poor,0.003533783,,
2016,Papua Barat Daya,uc,2.648608855376077e-06,,
2016,Papua Barat Daya,vulnerable,0.001648053,,
2016,Papua Tengah,amc,0.005254096,,
2016,Papua Tengah,mc,0.001942012,,
2016,Papua Tengah,poor,0.003533783,,
2016,Papua Tengah,uc,2.648608855376077e-06,,
2016,Papua Tengah,vulnerable,0.001648053,,
2016,Papua Selatan,amc,0.005254096,,
2016,Papua Selatan,mc,0.001942012,,
2016,Papua Selatan,poor,0.003533783,,
2016,Papua Selatan,uc,2.648608855376077e-06,,
2016,Papua Selatan,vulnerable,0.001648053,,
2016,Papua Pegunungan,amc,0.005254096,,
2016,Papua Pegunungan,mc,0.001942012,,
2016,Papua Pegunungan,poor,0.003533783,,
2016,Papua Pegunungan,uc,2.648608855376077e-06,,
2016,Papua Pegunungan,vulnerable,0.001648053,,
